"variant","date","proportion"
"BA.2",2022-04-27,0.998130238961732
"BA.2",2022-04-28,0.996695615145742
"BA.2",2022-04-29,0.99024592074851
"BA.2",2022-04-30,0.993550209178737
"undetermined",2022-01-03,0.0163757708228973
"undetermined",2022-01-04,1.39581776344026e-08
"undetermined",2022-01-05,3.21486844645296e-08
"undetermined",2022-01-06,0.0286416013318124
"undetermined",2022-01-07,0.017819664632505
"undetermined",2022-01-08,1.49464228580894e-08
"undetermined",2022-01-09,0.00291956775255024
"undetermined",2022-01-10,1.5065288600834e-09
"undetermined",2022-01-11,0.00227023606482149
"undetermined",2022-01-12,0.0043242983173983
"undetermined",2022-01-13,0.0180995345535073
"undetermined",2022-01-14,0.00104058649029156
"undetermined",2022-01-15,0.00980814398313926
"undetermined",2022-01-16,0.00310434609234335
"undetermined",2022-01-17,0.00730282917885301
"undetermined",2022-01-18,2.92589677440491e-09
"undetermined",2022-01-19,0.0194648942174037
"undetermined",2022-01-20,0.00225074728969131
"undetermined",2022-01-21,0.00866356950520551
"undetermined",2022-01-22,0.00441808529607618
"undetermined",2022-01-23,0.00446643565245756
"undetermined",2022-01-24,0.00197414304274795
"undetermined",2022-01-25,0.00388042914870351
"undetermined",2022-01-26,0.00572413067627671
"undetermined",2022-01-27,0.00623909153868552
"undetermined",2022-01-28,0.000856941218785981
"undetermined",2022-01-29,0.0104254445433321
"undetermined",2022-01-30,0.00866630482004274
"undetermined",2022-01-31,0.0157723254020048
"undetermined",2022-02-01,0.00828642878170298
"undetermined",2022-02-02,0.00901496834265267
"undetermined",2022-02-03,0.00437921202564609
"undetermined",2022-02-04,0.00253882922583088
"undetermined",2022-02-05,0.00354101883135263
"undetermined",2022-02-06,0.00249331220511312
"undetermined",2022-02-07,4.46394547338439e-07
"undetermined",2022-02-08,0.00186855603440217
"undetermined",2022-02-09,0.0020266312364127
"undetermined",2022-02-10,0.00236428060607136
"undetermined",2022-02-11,0.00687182191759328
"undetermined",2022-02-12,4.5114517304147e-11
"undetermined",2022-02-13,1.8336913825281e-05
"undetermined",2022-02-14,0.00269556290456037
"undetermined",2022-02-15,0.00506496007509255
"undetermined",2022-02-16,0.00288409285235888
"undetermined",2022-02-17,0.000363376358186143
"undetermined",2022-02-18,0.00142089120746833
